     Depth,  GAM(NAT),   RES(16),   RES(64),   NEUTRON,Outcome
179,41.1183,61.4173,82.0866,354.385,Dry
179.3,31.0888,61.4173,82.0866,347.436,Dry
179.5,91.2663,61.4173,83.2677,382.179,Dry
179.8,51.1479,61.4173,85.0394,277.949,Dry
180,56.1627,61.4173,85.0394,409.974,Dry
180.3,31.0888,61.4173,85.0394,250.154,Dry
180.5,11.0296,61.4173,85.0394,291.846,Dry
180.8,11.0296,61.4173,85.0394,396.077,Dry
181,11.0296,61.4173,85.0394,312.692,Dry
181.3,79.1339,61.4173,85.0394,423.872,Dry
181.5,98.622,61.4173,85.0394,396.077,Dry
181.8,84.7441,61.4173,85.0394,163.295,Dry
182,90.3543,61.4173,85.0394,184.141,Dry
182.3,79.1339,65.5512,85.0394,128.551,Dry
182.5,72.3425,63.7795,85.0394,180.667,Dry
182.8,69.3898,63.7795,86.2205,125.077,Dry
183,65.2559,62.5984,77.9528,170.244,Dry
183.3,68.2087,61.4173,77.9528,1768.45,Dry
183.5,76.4764,61.4173,77.9528,1924.79,Dry
183.8,80.6102,58.4646,76.7717,1761.5,Dry
184,85.3346,58.4646,76.7717,1778.87,Dry
184.3,70.8661,58.4646,76.7717,1796.24,Dry
184.5,83.2677,58.4646,75,1712.86,Dry
184.8,75.5906,57.2835,73.8189,1685.06,Dry
185,67.3228,55.5118,73.8189,1771.92,Dry
185.3,67.3228,55.5118,72.0472,1817.09,Dry
185.5,64.6654,55.5118,70.8661,1879.63,Dry
185.8,78.5433,55.5118,70.8661,1865.73,Dry
186,68.7992,55.5118,69.685,1897,Dry
186.3,73.5236,55.5118,67.9134,1820.56,Dry
186.5,70.8661,55.5118,66.7323,1959.54,Dry
186.8,91.8307,55.5118,66.7323,2018.6,Dry
187,92.4213,55.5118,66.7323,2022.08,Dry
187.3,93.8976,54.3307,66.7323,2001.23,Dry
187.5,88.878,54.3307,66.7323,1994.28,Dry
187.8,82.0866,51.378,66.7323,2063.77,Dry
188,84.7441,51.378,66.7323,2081.14,Dry
188.3,86.2205,51.378,65.5512,2037.71,Dry
188.5,82.6772,51.378,63.7795,1980.38,Dry
188.8,79.1339,51.378,63.7795,2063.77,Dry
189,110.433,51.378,63.7795,2029.03,Dry
189.3,108.366,51.378,63.7795,2049.87,Dry
189.5,103.346,51.378,63.7795,1945.64,Dry
189.8,122.244,51.378,63.7795,1999.49,Dry
190,124.902,51.378,63.7795,2011.65,Dry
190.3,113.091,51.378,63.7795,2112.41,Dry
190.5,104.823,51.378,63.7795,2136.73,Dry
190.8,106.299,51.378,63.7795,2227.06,Dry
191,107.776,51.378,65.5512,2039.45,Dry
191.3,108.957,51.378,65.5512,2194.06,Dry
191.5,102.165,51.378,66.7323,2157.58,Dry
191.8,98.622,51.378,66.7323,2143.68,Dry
192,101.28,51.378,67.9134,2015.13,Dry
192.3,102.756,51.378,67.9134,2084.62,Dry
192.5,102.756,51.378,67.9134,1956.06,Dry
192.8,106.299,51.378,67.9134,2199.27,Dry
193,106.89,53.1496,67.9134,2084.62,Dry
193.3,118.11,53.1496,67.9134,1917.85,Dry
193.5,115.157,53.1496,67.9134,1883.1,Dry
193.8,106.299,53.1496,69.685,1848.36,Dry
194,113.976,54.3307,69.685,1924.79,Dry
194.3,100.689,54.3307,69.685,1796.24,Dry
194.5,100.098,54.3307,70.8661,1848.36,Dry
194.8,101.28,54.3307,70.8661,1820.56,Dry
195,104.823,54.3307,73.8189,1695.49,Dry
195.3,106.299,55.5118,76.7717,1709.38,Dry
195.5,94.4882,55.5118,80.9055,1758.03,Dry
195.8,90.9449,55.5118,85.0394,1789.29,Dry
196,87.4016,55.5118,87.4016,1695.49,Dry
196.3,98.0315,55.5118,87.4016,1820.56,Dry
196.5,104.232,58.4646,91.5354,1855.31,Dry
196.8,88.878,58.4646,94.4882,1994.28,Dry
197,88.878,59.6457,95.6693,1921.32,Dry
197.3,88.878,61.4173,97.4409,1870.94,Dry
197.5,86.2205,62.5984,100.394,1851.83,Dry
197.8,92.4213,65.5512,100.394,1782.35,Dry
198,90.9449,65.5512,100.394,1782.35,Dry
198.3,80.0197,67.9134,104.528,1830.99,Dry
198.5,80.0197,70.8661,105.709,1879.63,Dry
198.8,76.4764,72.0472,109.843,2035.97,Dry
199,73.5236,73.8189,115.157,2056.82,Dry
199.3,80.0197,73.8189,119.291,1980.38,Dry
199.5,82.6772,77.9528,122.244,1678.12,Dry
199.8,84.7441,79.1339,123.425,1761.5,Dry
200,72.9331,83.2677,123.425,1730.23,Dry
200.3,70.8661,87.4016,125.197,1886.58,Dry
200.5,67.3228,87.4016,125.197,2015.13,Dry
200.8,76.4764,86.2205,126.378,1921.32,Dry
201,73.5236,86.2205,126.378,2063.77,Dry
201.3,71.4567,86.2205,126.378,1976.91,Dry
201.5,71.4567,86.2205,126.378,1921.32,Dry
201.8,80.6102,86.2205,126.378,1959.54,Dry
202,73.5236,79.1339,123.425,1883.1,Dry
202.3,73.5236,79.1339,119.291,1886.58,Dry
202.5,71.4567,77.9528,115.157,2088.09,Dry
202.8,11.3988,77.9528,113.976,1980.38,Dry
203,21.7975,77.9528,113.976,1997.76,Dry
203.3,63.3926,77.9528,113.976,2025.55,Dry
203.5,42.5951,85.0394,116.929,2272.23,Dry
203.8,42.5951,82.0866,119.291,1306.36,Dry
204,32.1963,80.9055,121.063,423.872,Dry
204.3,32.1963,80.9055,122.244,517.68,Dry
204.5,21.7975,76.7717,123.425,427.346,Dry
204.8,11.3988,73.8189,125.197,503.782,Dry
205,32.1963,72.0472,128.15,486.41,Dry
205.3,21.7975,70.837,132.283,458.615,Dry
205.5,1,70.1579,134.646,455.141,Dry
205.8,21.7975,70.0083,136.417,475.987,Dry
206,21.7975,70.3996,141.595,451.667,Dry
206.3,11.3988,70.8715,140.987,385.654,Dry
206.5,32.1963,70.9866,140.186,503.782,Dry
206.8,32.1963,71.1478,139.848,601.064,Dry
207,21.7975,70.9406,139.667,517.68,Dry
207.3,32.1963,70.6183,139.316,625.385,Dry
207.5,42.5951,70.5953,139.424,528.103,Dry
207.8,1,70.5722,106.382,524.628,Dry
208,11.3988,68.9839,93.5326,503.782,Dry
208.3,21.7975,68.5119,93.3709,481.199,Dry
208.5,52.9939,57.7846,91.0536,538.526,Dry
208.8,42.5951,57.094,89.4831,496.833,Dry
209,21.7975,56.8523,87.5738,542,Dry
209.3,21.7975,56.599,86.1957,521.154,Dry
209.5,63.3926,56.2422,85.5721,469.038,Dry
209.8,42.5951,55.9775,84.3096,559.372,Dry
210,32.1963,55.8394,82.5235,722.667,Dry
210.3,21.7975,55.6437,83.6629,889.436,Dry
210.5,32.1963,54.6423,82.7929,639.282,Dry
210.8,21.7975,54.8956,83.0855,743.513,Dry
211,32.1963,54.2855,82.2078,778.256,Dry
211.3,73.7914,54.1359,81.7382,660.128,Dry
211.5,32.1963,53.6525,80.0291,757.41,Dry
211.8,32.1963,53.0079,80.0407,715.718,Dry
212,63.3926,53.0424,80.6065,757.41,Dry
212.3,1,52.0296,78.3893,680.974,Dry
212.5,11.3988,51.9835,77.4501,646.231,Dry
212.8,73.7914,51.8569,77.5732,569.795,Dry
213,52.9939,51.0512,76.8803,632.333,Dry
213.3,21.7975,51.2699,75.9873,646.231,Dry
213.5,42.5951,50.9476,74.1473,576.744,Dry
213.8,42.5951,51.0282,75.3252,514.205,Dry
214,42.5951,50.6253,74.6016,625.385,Dry
214.3,11.3988,50.6829,74.8248,674.026,Dry
214.5,21.7975,50.6368,74.8787,507.256,Dry
214.8,32.1963,50.3146,73.9934,660.128,Dry
215,42.5951,50.8901,75.0327,604.538,Dry
215.3,21.7975,50.5102,75.5562,542,Dry
215.5,73.7914,50.7635,76.1567,542,Dry
215.8,32.1963,51.0282,79.7366,618.436,Dry
216,1,51.3044,78.9051,576.744,Dry
216.3,21.7975,52.2828,80.2832,701.82,Dry
216.5,21.7975,52.3749,84.5405,542,Dry
216.8,21.7975,52.5245,87.8047,555.897,Dry
217,63.3926,53.3993,88.8903,618.436,Dry
217.3,52.9939,54.0899,82.1847,680.974,Dry
217.5,11.3988,54.9186,81.3225,611.487,Dry
217.8,21.7975,53.2381,82.1539,646.231,Dry
218,52.9939,52.4669,83.4011,576.744,Dry
218.3,21.7975,52.3633,82.5158,569.795,Dry
218.5,11.3988,53.2496,81.1531,524.628,Dry
218.8,32.1963,53.0079,81.1454,486.41,Dry
219,21.7975,53.1575,80.4833,715.718,Dry
219.3,21.7975,53.0022,96.6274,680.974,Dry
219.5,11.3988,52.6856,132.688,618.436,Dry
219.8,1,54.0208,122.433,660.128,Dry
220,21.7975,60.2708,147.215,535.051,Dry
220.3,1,70.5377,161.635,743.513,Fresh_Water
220.5,11.3988,71.6657,172.994,486.41,Fresh_Water
220.8,32.1963,80.3903,152.304,569.795,Fresh_Water
221,32.1963,78.6178,179.996,507.256,Fresh_Water
221.3,32.1963,72.3563,158.328,465.564,Fresh_Water
221.5,42.5951,77.72,159.703,625.385,Fresh_Water
221.8,11.3988,87.3884,170.758,597.59,Fresh_Water
222,21.7975,84.7296,204.339,472.513,Fresh_Water
222.3,21.7975,78.2034,204.463,722.667,Fresh_Water
222.5,52.9939,89.5753,205.071,566.32,Fresh_Water
222.8,42.5951,89.5178,205.225,493.359,Fresh_Water
223,21.7975,88.8962,205.51,458.615,Fresh_Water
223.3,11.3988,88.666,204.963,562.846,Fresh_Water
223.5,21.7975,88.4358,204.339,548.949,Fresh_Water
223.8,42.5951,88.2287,204.124,625.385,Fresh_Water
224,21.7975,88.01,203.516,576.744,Fresh_Water
224.3,42.5951,87.8373,180.443,500.308,Fresh_Water
224.5,63.3926,87.9064,204.455,521.154,Fresh_Water
224.8,52.9939,87.2963,204.647,576.744,Fresh_Water
225,1,85.2245,204.717,507.256,Fresh_Water
225.3,42.5951,88.8617,203.485,555.897,Fresh_Water
225.5,21.7975,89.2991,201.383,562.846,Fresh_Water
225.8,32.1963,89.8286,196.533,548.949,Fresh_Water
226,52.9939,89.23,199.451,674.026,Fresh_Water
226.3,32.1963,87.9524,198.096,653.18,Fresh_Water
226.5,21.7975,87.6416,179.257,486.41,Fresh_Water
226.8,21.7975,87.4345,152.589,590.641,Fresh_Water
227,32.1963,86.6115,201.945,555.897,Fresh_Water
227.3,32.1963,73.3462,199.974,604.538,Fresh_Water
227.5,32.1963,86.318,203.562,409.974,Fresh_Water
227.8,11.3988,87.2733,205.202,437.769,Fresh_Water
228,21.7975,87.9064,204.116,569.795,Fresh_Water
228.3,42.5951,88.2862,201.356,514.205,Fresh_Water
228.5,1,88.6776,200.79,535.051,Fresh_Water
228.8,32.1963,88.079,200.944,538.526,Fresh_Water
229,63.3926,87.6704,201.16,545.474,Fresh_Water
229.3,32.1963,87.6877,201.791,451.667,Fresh_Water
229.5,52.9939,87.6416,201.637,486.41,Fresh_Water
229.8,32.1963,87.5899,201.214,542,Fresh_Water
230,32.1963,87.7683,200.867,437.769,Fresh_Water
230.3,11.3988,87.8718,200.398,548.949,Fresh_Water
230.5,11.3988,88.0445,201.137,437.769,Fresh_Water
230.8,32.1963,88.0215,202.834,542,Fresh_Water
231,21.7975,87.9524,204.786,437.769,Fresh_Water
231.3,32.1963,88.2862,206.133,444.718,Fresh_Water
231.5,42.5951,88.9653,204.747,465.564,Fresh_Water
231.8,52.9939,89.6904,202.723,451.667,Fresh_Water
232,11.3988,90.2314,201.044,455.141,Fresh_Water
232.3,84.1902,89.9206,200.028,444.718,Fresh_Water
232.5,1,89.817,199.05,562.846,Fresh_Water
232.8,52.9939,89.8516,198.327,423.872,Fresh_Water
233,1,89.9897,198.026,535.051,Fresh_Water
233.3,42.5951,89.9437,199.374,500.308,Fresh_Water
233.5,32.1963,89.1149,200.197,486.41,Fresh_Water
233.8,68.592,88.0675,204.778,472.513,Fresh_Water
234,11.3988,87.5381,221.415,430.821,Fresh_Water
234.3,11.3988,87.2158,226.511,361.333,Fresh_Water
234.5,1,92.1421,221.977,451.667,Fresh_Water
234.8,42.5951,98.1733,217.935,528.103,Fresh_Water
235,21.7975,97.0799,214.348,646.231,Fresh_Water
235.3,73.7914,96.3663,212.169,646.231,Fresh_Water
235.5,94.589,97.2756,211.638,736.564,Fresh_Water
235.8,32.1963,97.5518,212.23,674.026,Fresh_Water
236,11.3988,97.9431,214.063,694.872,Fresh_Water
236.3,21.7975,98.1273,214.317,625.385,Fresh_Water
236.5,32.1963,98.4841,214.609,722.667,Fresh_Water
236.8,42.5951,98.6453,215.341,500.308,Fresh_Water
237,42.5951,98.5877,214.494,722.667,Fresh_Water
237.3,42.5951,98.9445,212.477,667.077,Fresh_Water
237.5,42.5951,99.2323,213.609,715.718,Fresh_Water
237.8,52.9939,98.8755,216.157,632.333,Fresh_Water
238,32.1963,98.8294,216.226,736.564,Fresh_Water
238.3,52.9939,99.5546,214.91,701.82,Fresh_Water
238.5,42.5951,99.8653,213.339,715.718,Fresh_Water
238.8,42.5951,99.497,213.339,819.949,Fresh_Water
239,32.1963,98.956,215.079,722.667,Fresh_Water
239.3,21.7975,98.3805,215.287,674.026,Fresh_Water
239.5,73.7914,98.7834,214.24,674.026,Fresh_Water
239.8,84.1902,99.3934,213.447,604.538,Fresh_Water
240,21.7975,99.5315,213.839,722.667,Fresh_Water
240.3,52.9939,99.7617,211.207,635.808,Fresh_Water
240.5,42.5951,100.084,210.483,701.82,Fresh_Water
240.8,63.3926,100.245,210.999,569.795,Fresh_Water
241,52.9939,99.4855,211.699,542,Fresh_Water
241.3,42.5951,99.1172,212.261,667.077,Fresh_Water
241.5,11.3988,98.5302,213.016,743.513,Fresh_Water
241.8,32.1963,97.8511,213.37,514.205,Fresh_Water
242,21.7975,97.736,213.601,674.026,Fresh_Water
242.3,11.3988,97.6784,214.301,614.962,Fresh_Water
242.5,21.7975,97.5058,216.018,590.641,Fresh_Water
242.8,26.9969,97.5173,217.25,611.487,Fresh_Water
243,21.7975,98.2424,216.211,701.82,Fresh_Water
243.3,42.5951,98.7604,215.279,674.026,Fresh_Water
243.5,21.7975,99.2438,215.564,708.769,Fresh_Water
243.8,52.9939,98.8409,216.603,687.923,Fresh_Water
244,42.5951,98.6107,216.064,819.949,Fresh_Water
244.3,42.5951,98.8179,216.334,660.128,Fresh_Water
244.5,21.7975,98.7258,218.197,701.82,Fresh_Water
244.8,21.7975,98.6222,219.136,632.333,Fresh_Water
245,32.1963,98.8985,219.125,708.769,Fresh_Water
245.3,42.5951,99.4855,217.65,840.795,Fresh_Water
245.5,32.1963,99.8308,217.25,687.923,Fresh_Water
245.8,32.1963,99.9919,216.072,819.949,Fresh_Water
246,21.7975,99.9574,217.096,701.82,Fresh_Water
246.3,63.3926,100.096,219.614,743.513,Fresh_Water
246.5,11.3988,100.142,220.06,722.667,Fresh_Water
246.8,37.3957,100.613,218.944,708.769,Fresh_Water
247,21.7975,101.471,221.299,778.256,Fresh_Water
247.3,11.3988,101.615,220.268,708.769,Fresh_Water
247.5,1,102.697,217.65,694.872,Fresh_Water
247.8,52.9939,103.146,216.388,771.308,Fresh_Water
248,1,101.903,216.126,764.359,Fresh_Water
248.3,1,101.177,217.135,729.615,Fresh_Water
248.5,1,101.293,218.374,840.795,Fresh_Water
248.8,1,101.062,218.951,729.615,Fresh_Water
249,63.3926,100.798,218.732,680.974,Fresh_Water
249.3,32.1963,100.867,220.099,694.872,Fresh_Water
249.5,84.1902,100.763,221.53,813,Fresh_Water
249.8,21.7975,100.809,222.404,896.385,Fresh_Water
250,21.7975,101.649,221.969,632.333,Fresh_Water
250.3,21.7975,102.248,220.922,945.026,Fresh_Water
250.5,42.5951,102.881,217.797,722.667,Fresh_Water
250.8,52.9939,103.284,217.088,792.154,Fresh_Water
251,52.9939,102.57,217.173,785.205,Fresh_Water
251.3,11.3988,101.362,217.558,743.513,Fresh_Water
251.5,21.7975,101.005,218.459,875.538,Fresh_Water
251.8,52.9939,100.671,218.505,708.769,Fresh_Water
252,52.9939,100.412,218.52,757.41,Fresh_Water
252.3,52.9939,100.521,218.651,799.103,Fresh_Water
252.5,47.7945,100.199,219.406,778.256,Fresh_Water
252.8,1,99.8998,219.614,910.282,Fresh_Water
253,42.5951,99.7157,220.807,757.41,Fresh_Water
253.3,1,100.061,221.731,806.051,Fresh_Water
253.5,84.1902,100.211,220.961,792.154,Fresh_Water
253.8,63.3926,100.556,220.945,785.205,Fresh_Water
254,42.5951,100.59,220.699,854.692,Fresh_Water
254.3,42.5951,100.855,221.323,764.359,Fresh_Water
254.5,104.988,101.316,222.832,778.256,Fresh_Water
254.8,21.7975,101.304,221.858,945.026,Fresh_Water
255,63.3926,101.868,221.161,965.872,Fresh_Water
255.3,21.7975,102.075,221.446,875.538,Fresh_Water
255.5,32.1963,101.672,221.538,945.026,Fresh_Water
255.8,32.1963,101.672,221.684,1000.62,Fresh_Water
256,21.7975,101.626,222.162,948.5,Fresh_Water
256.3,1,101.546,222.57,1021.46,Fresh_Water
256.5,32.1963,101.58,222.558,979.769,Fresh_Water
256.8,21.7975,101.787,221.6,958.923,Fresh_Water
257,42.5951,101.903,221.677,757.41,Fresh_Water
257.3,21.7975,101.741,222.092,833.846,Fresh_Water
257.5,42.5951,101.638,221.515,1028.41,Fresh_Water
257.8,11.3988,101.672,221.253,826.897,Fresh_Water
258,42.5951,101.569,222.462,951.974,Fresh_Water
258.3,11.3988,101.166,222.5,945.026,Fresh_Water
258.5,42.5951,101.224,219.814,882.487,Fresh_Water
258.8,52.9939,101.73,218.682,917.231,Fresh_Water
259,21.7975,101.592,219.737,986.718,Fresh_Water
259.3,11.3988,100.867,219.621,924.18,Fresh_Water
259.5,32.1963,100.798,218.975,979.769,Fresh_Water
259.8,1,100.671,219.906,861.641,Fresh_Water
260,21.7975,100.165,222.531,931.128,Fresh_Water
260.3,42.5951,99.9574,223.663,736.564,Fresh_Water
260.5,1,100.613,226.519,965.872,Fresh_Water
260.8,11.3988,101.339,225.441,680.974,Fresh_Water
261,11.3988,102.386,219.144,778.256,Fresh_Water
261.3,52.9939,104.239,218.205,903.333,Fresh_Water
261.5,32.1963,104.205,218.821,889.436,Fresh_Water
261.8,52.9939,103.56,220.029,986.718,Fresh_Water
262,21.7975,104.136,222.362,833.846,Fresh_Water
262.3,42.5951,104.239,220.903,910.282,Fresh_Water
262.5,104.988,104.366,217.843,691.397,Fresh_Water
262.8,32.1963,104.976,216.796,889.436,Fresh_Water
263,63.3926,104.481,217.142,875.538,Fresh_Water
263.3,11.3988,102.685,217.877,882.487,Fresh_Water
263.5,32.1963,101.926,218.728,861.641,Fresh_Water
263.8,21.7975,100.993,219.552,833.846,Fresh_Water
264,21.7975,100.107,219.791,868.59,Fresh_Water
264.3,1,99.7963,220.137,889.436,Fresh_Water
264.5,21.7975,99.6581,219.56,896.385,Fresh_Water
264.8,21.7975,99.4855,218.336,875.538,Fresh_Water
265,16.5982,99.5661,216.919,757.41,Fresh_Water
265.3,11.3988,99.4279,216.388,819.949,Fresh_Water
265.5,1,99.1057,216.88,813,Fresh_Water
265.8,21.7975,98.7488,217.319,806.051,Fresh_Water
266,11.3988,98.4151,217.327,729.615,Fresh_Water
266.3,32.1963,98.2654,217.442,806.051,Fresh_Water
266.5,32.1963,98.0122,217.566,868.59,Fresh_Water
266.8,1,97.8626,217.05,771.308,Fresh_Water
267,11.3988,97.9547,216.692,715.718,Fresh_Water
267.3,21.7975,97.9834,216.326,625.385,Fresh_Water
267.5,1,97.828,216.349,785.205,Fresh_Water
267.8,26.9969,97.736,217.058,792.154,Fresh_Water
268,21.7975,97.5403,217.55,722.667,Fresh_Water
268.3,21.7975,97.6209,217.75,653.18,Fresh_Water
268.5,32.1963,97.9892,217.912,743.513,Fresh_Water
268.8,52.9939,98.1618,219.506,757.41,Fresh_Water
269,11.3988,98.323,218.547,771.308,Fresh_Water
269.3,11.3988,98.7604,216.927,806.051,Fresh_Water
269.5,32.1963,99.6696,216.372,715.718,Fresh_Water
269.8,63.3926,98.9906,216.088,680.974,Fresh_Water
270,63.3926,98.8409,216.049,938.077,Fresh_Water
270.3,42.5951,99.1057,217.419,646.231,Fresh_Water
270.5,32.1963,98.979,218.774,806.051,Fresh_Water
270.8,32.1963,99.3013,217.92,806.051,Fresh_Water
271,52.9939,99.9459,217.566,691.397,Fresh_Water
271.3,1,100.372,217.82,806.051,Fresh_Water
271.5,52.9939,100.383,217.589,778.256,Fresh_Water
271.8,21.7975,100.924,217.473,945.026,Fresh_Water
272,11.3988,101.293,218.282,712.244,Fresh_Water
272.3,11.3988,101.523,218.259,882.487,Fresh_Water
272.5,21.7975,101.626,217.531,778.256,Fresh_Water
272.8,32.1963,101.534,219.629,819.949,Fresh_Water
273,32.1963,101.442,223.016,740.038,Fresh_Water
273.3,1,101.603,223.594,813,Fresh_Water
273.5,52.9939,103.18,217.543,806.051,Fresh_Water
273.8,32.1963,104.769,214.925,899.859,Fresh_Water
274,1,104.884,215.61,736.564,Fresh_Water
274.3,63.3926,102.282,216.511,1021.46,Fresh_Water
274.5,42.5951,101.12,216.549,840.795,Fresh_Water
274.8,11.3988,100.683,217.35,785.205,Fresh_Water
275,1,100.314,218.52,785.205,Fresh_Water
275.3,11.3988,100.326,221.253,701.82,Fresh_Water
275.5,11.3988,100.602,224.117,750.462,Fresh_Water
275.8,115.387,101.039,221.122,757.41,Fresh_Water
276,94.589,102.605,216.342,687.923,Fresh_Water
276.3,42.5951,103.353,215.194,771.308,Fresh_Water
276.5,11.3988,101.845,216.888,757.41,Fresh_Water
276.8,52.9939,101.051,218.289,680.974,Fresh_Water
277,21.7975,100.993,221.838,736.564,Fresh_Water
277.3,32.1963,100.706,220.965,639.282,Fresh_Water
277.5,1,101.062,218.713,736.564,Fresh_Water
277.8,11.3988,101.799,217.958,819.949,Fresh_Water
278,11.3988,101.373,217.342,736.564,Fresh_Water
278.3,32.1963,101.224,218.505,771.308,Fresh_Water
278.5,1,101.373,218.928,750.462,Fresh_Water
278.8,11.3988,100.959,218.613,764.359,Fresh_Water
279,1,100.947,221.292,840.795,Fresh_Water
279.3,42.5951,100.867,222.354,785.205,Fresh_Water
279.5,1,101.028,219.521,806.051,Fresh_Water
279.8,11.3988,102.328,217.904,861.641,Fresh_Water
280,1,102.087,217.816,854.692,Fresh_Water
280.3,42.5951,101.143,218.69,868.59,Fresh_Water
280.5,21.7975,101.419,219.121,903.333,Fresh_Water
280.8,42.5951,101.408,220.922,764.359,Fresh_Water
281,32.1963,101.425,223.617,799.103,Fresh_Water
281.3,32.1963,101.419,223.394,965.872,Fresh_Water
281.5,11.3988,102.432,219.675,868.59,Fresh_Water
281.8,1,103.479,219.725,854.692,Fresh_Water
282,52.9939,103.491,221.738,778.256,Fresh_Water
282.3,52.9939,103.341,224.718,694.872,Fresh_Water
282.5,63.3926,103.744,227.897,917.231,Fresh_Water
282.8,63.3926,104.446,229.198,986.718,Fresh_Water
283,52.9939,105.574,224.094,931.128,Fresh_Water
283.3,63.3926,107.738,220.122,965.872,Fresh_Water
283.5,42.5951,107.416,220.999,806.051,Fresh_Water
283.8,63.3926,105.344,223.409,833.846,Fresh_Water
284,42.5951,105.241,221.53,1000.62,Fresh_Water
284.3,21.7975,106.541,219.383,813,Fresh_Water
284.5,32.1963,106.967,220.999,924.18,Fresh_Water
284.8,52.9939,105.758,221.584,1077.05,Fresh_Water
285,32.1963,105.091,223.178,1021.46,Fresh_Water
285.3,42.5951,105.298,226.719,945.026,Fresh_Water
285.5,32.1963,104.561,225.873,861.641,Fresh_Water
285.8,1,105.356,223.532,840.795,Fresh_Water
286,73.7914,106.288,221.692,771.308,Fresh_Water
286.3,84.1902,104.297,221.623,868.59,Fresh_Water
286.5,32.1963,103.146,221.161,833.846,Fresh_Water
286.8,42.5951,102.789,221.015,736.564,Fresh_Water
287,52.9939,102.639,223.84,792.154,Fresh_Water
287.3,32.1963,101.868,227.289,861.641,Fresh_Water
287.5,42.5951,101.73,226.103,1042.31,Fresh_Water
287.8,1,102.501,224.949,924.18,Fresh_Water
288,32.1963,102.938,225.711,903.333,Fresh_Water
288.3,63.3926,101.972,223.648,882.487,Fresh_Water
288.5,32.1963,102.518,222.701,861.641,Fresh_Water
288.8,21.7975,102.639,221.099,868.59,Fresh_Water
289,32.1963,102.467,220.56,826.897,Fresh_Water
289.3,11.3988,102.386,223.701,868.59,Fresh_Water
289.5,1,102.041,231.308,819.949,Fresh_Water
289.8,21.7975,102.006,233.571,945.026,Fresh_Water
290,32.1963,103.41,232.078,792.154,Fresh_Water
290.3,11.3988,105.413,226.635,778.256,Fresh_Water
290.5,52.9939,105.01,220.845,972.82,Fresh_Water
290.8,21.7975,105.356,220.26,924.18,Fresh_Water
291,68.592,105.114,221.184,910.282,Fresh_Water
291.3,52.9939,105.241,222.882,903.333,Fresh_Water
291.5,73.7914,105.689,225.072,1000.62,Fresh_Water
291.8,11.3988,105.528,225.549,868.59,Fresh_Water
292,11.3988,105.482,224.518,986.718,Fresh_Water
292.3,21.7975,105.92,223.27,910.282,Fresh_Water
292.5,63.3926,106.207,222.793,1000.62,Fresh_Water
292.8,42.5951,106.276,223.163,1000.62,Fresh_Water
293,21.7975,106.345,224.764,1063.15,Fresh_Water
293.3,32.1963,105.39,225.387,938.077,Fresh_Water
293.5,21.7975,104.458,225.919,785.205,Fresh_Water
293.8,21.7975,103.859,227.07,868.59,Fresh_Water
294,21.7975,103.641,228.821,840.795,Fresh_Water
294.3,11.3988,103.721,227.92,1077.05,Fresh_Water
294.5,21.7975,103.859,226.458,903.333,Fresh_Water
294.8,37.3957,104.228,223.994,792.154,Fresh_Water
295,21.7975,104.308,223.771,903.333,Fresh_Water
295.3,52.9939,104.216,222.785,1000.62,Fresh_Water
295.5,21.7975,104.193,223.832,1007.56,Fresh_Water
295.8,21.7975,103.974,225.719,840.795,Fresh_Water
296,32.1963,104.124,226.796,951.974,Fresh_Water
296.3,1,104.435,225.364,833.846,Fresh_Water
296.5,21.7975,104.884,225.364,1021.46,Fresh_Water
296.8,52.9939,104.964,225.819,875.538,Fresh_Water
297,42.5951,104.792,225.549,979.769,Fresh_Water
297.3,21.7975,104.964,224.086,1007.56,Fresh_Water
297.5,11.3988,104.838,224.579,917.231,Fresh_Water
297.8,32.1963,104.481,224.194,903.333,Fresh_Water
298,21.7975,104.285,224.779,819.949,Fresh_Water
298.3,32.1963,104.285,224.61,972.82,Fresh_Water
298.5,21.7975,104.423,225.303,986.718,Fresh_Water
298.8,21.7975,104.066,225.157,986.718,Fresh_Water
299,11.3988,104.124,224.902,986.718,Fresh_Water
299.3,32.1963,104.124,225.557,1077.05,Fresh_Water
299.5,21.7975,104.09,226.55,882.487,Fresh_Water
299.8,63.3926,104.274,226.057,1014.51,Fresh_Water
300,73.7914,104.573,225.511,931.128,Fresh_Water
300.3,32.1963,104.561,224.764,958.923,Fresh_Water
300.5,42.5951,104.538,225.334,931.128,Fresh_Water
300.8,52.9939,104.469,226.35,1104.85,Fresh_Water
301,63.3926,104.078,227.066,972.82,Fresh_Water
301.3,32.1963,104.038,227.335,958.923,Fresh_Water
301.5,52.9939,103.946,225.695,993.667,Fresh_Water
301.8,52.9939,104.182,224.233,958.923,Fresh_Water
302,52.9939,103.825,221.777,896.385,Fresh_Water
302.3,84.1902,103.422,220.707,938.077,Fresh_Water
302.5,32.1963,103.295,221.761,715.718,Fresh_Water
302.8,1,102.858,224.772,833.846,Fresh_Water
303,32.1963,103.284,226.219,778.256,Fresh_Water
303.3,63.3926,103.526,226.735,986.718,Fresh_Water
303.5,11.3988,104.113,226.75,924.18,Fresh_Water
303.8,32.1963,104.043,226.627,1028.41,Fresh_Water
304,42.5951,103.997,227.289,1021.46,Fresh_Water
304.3,32.1963,103.905,226.712,1042.31,Fresh_Water
