     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
57.8,63.3926,72.1896,110.726,243.205,Dry
58,84.1902,71.3042,108.061,291.846,Dry
58.3,52.9939,69.7105,104.223,236.256,Dry
58.5,63.3926,67.4085,100.883,291.846,Dry
58.8,94.589,64.2211,97.5432,375.231,Dry
59,73.7914,61.4233,95.0559,312.692,Dry
59.3,63.3926,59.9358,92.7108,250.154,Dry
59.5,84.1902,59.1921,90.7921,298.795,Dry
59.8,21.7975,59.1921,89.051,368.282,Dry
60,52.9939,59.1921,88.1982,194.564,Dry
60.3,52.9939,58.9442,87.452,340.487,Dry
60.5,42.5951,58.8025,86.4927,375.231,Dry
60.8,104.988,59.0504,84.6095,305.744,Dry
61,21.7975,59.0504,84.716,340.487,Dry
61.3,32.1963,57.7224,85.782,361.333,Dry
61.5,84.1902,55.7922,87.8074,222.359,Dry
61.8,73.7914,55.1193,89.6906,305.744,Dry
62,52.9939,56.288,90.4367,180.667,Dry
62.3,32.1963,58.9442,90.721,236.256,Dry
62.5,63.3926,61.7774,90.4012,312.692,Dry
62.8,52.9939,63.9024,91.0053,250.154,Dry
63,73.7914,64.8232,91.8225,284.897,Dry
63.3,84.1902,65.1773,92.7819,347.436,Dry
63.5,1,64.3982,92.9951,222.359,Dry
63.8,94.589,62.8576,92.2489,326.59,Dry
64,104.988,61.317,91.3606,271,Dry
64.3,42.5951,60.5733,90.5433,222.359,Dry
64.5,52.9939,60.29,89.9393,243.205,Dry
64.8,52.9939,60.8212,89.5484,250.154,Dry
65,73.7914,61.4587,89.7616,277.949,Dry
65.3,32.1963,61.2816,90.721,243.205,Dry
65.5,63.3926,60.2192,91.5027,319.641,Dry
65.8,104.988,60.0067,91.9291,347.436,Dry
66,63.3926,60.1837,91.1829,347.436,Dry
66.3,42.5951,60.8212,91.1474,312.692,Dry
66.5,73.7914,61.2816,91.3961,326.59,Dry
66.8,63.3926,61.0691,92.3555,236.256,Dry
67,52.9939,61.2108,93.7057,291.846,Dry
67.3,11.3988,62.4503,94.5585,257.103,Dry
67.5,42.5951,65.1773,93.8834,312.692,Dry
67.8,32.1963,67.5856,93.4925,264.051,Dry
68,11.3988,66.9835,94.3453,250.154,Dry
68.3,84.1902,64.0795,95.5889,305.744,Dry
68.5,63.3926,60.9983,96.726,277.949,Dry
68.8,63.3926,59.2275,95.7666,208.462,Dry
69,73.7914,58.4838,93.1017,222.359,Dry
69.3,32.1963,58.5546,89.584,312.692,Dry
69.5,52.9939,58.4838,87.6297,284.897,Dry
69.8,52.9939,58.1296,86.5993,250.154,Dry
70,104.988,58.2713,86.8835,354.385,Dry
70.3,42.5951,58.9088,87.985,312.692,Dry
70.5,84.1902,59.3338,89.8682,368.282,Dry
70.8,104.988,59.6171,92.8174,291.846,Dry
71,73.7914,60.0067,95.5179,291.846,Dry
71.3,84.1902,60.6796,98.9645,208.462,Dry
71.5,94.589,61.9899,102.482,319.641,Dry
71.8,42.5951,63.4066,114.101,284.897,Dry
72,21.7975,64.3274,252.748,347.436,Dry
72.3,42.5951,65.6377,223.363,264.051,Dry
72.5,63.3926,81.5039,263.124,354.385,Dry
72.8,73.7914,103.462,247.312,326.59,Dry
73,115.387,101.195,111.472,222.359,Dry
73.3,104.988,101.301,94.523,333.538,Dry
73.5,21.7975,84.8684,93.5636,389.128,Dry
73.8,42.5951,67.9043,95.3402,326.59,Dry
74,21.7975,67.7981,96.726,333.538,Dry
74.3,52.9939,68.0814,136.096,319.641,Dry
74.5,42.5951,68.5064,111.934,264.051,Dry
74.8,52.9939,70.348,125.578,326.59,Dry
75,42.5951,69.6043,151.019,319.641,Dry
75.3,63.3926,66.1335,189.714,416.923,Dry
75.5,42.5951,73.2521,156.029,333.538,Dry
75.8,84.1902,75.9791,108.416,277.949,Dry
76,73.7914,76.0145,95.0204,319.641,Dry
76.3,63.3926,75.3416,89.3708,250.154,Dry
76.5,73.7914,60.0775,88.6246,312.692,Dry
76.8,32.1963,59.4046,88.1627,277.949,Dry
77,42.5951,59.7588,91.6093,312.692,Dry
77.3,84.1902,60.5733,96.4417,284.897,Dry
77.5,52.9939,62.5212,99.7817,243.205,Dry
77.8,52.9939,65.3544,97.6853,250.154,Dry
78,21.7975,67.8689,96.9747,284.897,Dry
78.3,42.5951,66.7356,96.5483,319.641,Dry
78.5,84.1902,66.2044,95.5179,389.128,Dry
78.8,42.5951,65.1773,93.9189,277.949,Dry
79,94.589,63.3357,92.4976,284.897,Dry
79.3,32.1963,61.5295,91.4672,319.641,Dry
79.5,94.589,60.29,91.3606,271,Dry
79.8,42.5951,59.4754,91.1829,396.077,Dry
80,84.1902,59.2629,91.4672,243.205,Dry
80.3,84.1902,59.3338,91.6448,375.231,Dry
80.5,52.9939,59.1213,92.0002,319.641,Dry
