     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
509.5,32.1963,3.28543,4.35128,291.846,Dry
509.8,21.7975,3.33147,4.2589,271,Dry
510,1,3.28543,4.2589,347.436,Dry
510.3,21.7975,3.28543,4.21271,403.026,Dry
510.5,63.3926,3.37751,4.12032,243.205,Dry
510.8,11.3988,3.46959,4.12032,326.59,Dry
511,11.3988,3.33147,4.16651,326.59,Dry
511.3,32.1963,3.28543,4.35128,361.333,Dry
511.5,84.1902,3.23939,4.2589,375.231,Dry
511.8,73.7914,3.42355,4.21271,347.436,Dry
512,63.3926,3.51563,4.16651,243.205,Dry
512.3,11.3988,3.46959,4.21271,236.256,Dry
512.5,73.7914,3.42355,4.12032,312.692,Dry
512.8,52.9939,3.37751,4.12032,291.846,Dry
513,42.5951,3.33147,3.88936,340.487,Dry
513.3,52.9939,3.23939,3.98175,347.436,Dry
513.5,32.1963,3.28543,3.88936,396.077,Dry
513.8,42.5951,3.23939,3.93555,333.538,Dry
514,73.7914,3.23939,3.88936,354.385,Dry
514.3,84.1902,3.10127,3.79698,354.385,Dry
514.5,84.1902,3.23939,3.98175,375.231,Dry
514.8,21.7975,3.37751,3.79698,416.923,Dry
515,52.9939,3.74583,3.33506,396.077,Dry
515.3,32.1963,3.79187,3.19648,333.538,Dry
515.5,73.7914,3.42355,3.05791,389.128,Dry
515.8,63.3926,3.33147,3.19648,416.923,Dry
516,42.5951,3.28543,3.19648,416.923,Dry
516.3,156.982,3.14731,3.42744,569.795,Dry
516.5,84.1902,3.14731,3.84317,347.436,Dry
516.8,63.3926,3.05523,4.12032,451.667,Dry
517,125.785,3.05523,4.30509,542,Dry
517.3,52.9939,2.91711,4.30509,486.41,Dry
517.5,63.3926,2.87107,4.2589,562.846,Dry
517.8,84.1902,2.68691,4.30509,458.615,Dry
518,136.184,2.64087,4.30509,409.974,Dry
518.3,42.5951,2.64087,4.12032,548.949,Dry
518.5,52.9939,2.59483,4.16651,361.333,Dry
518.8,63.3926,2.45671,4.12032,500.308,Dry
519,52.9939,2.50275,3.88936,590.641,Dry
519.3,84.1902,2.50275,3.84317,486.41,Dry
519.5,32.1963,2.41066,3.88936,298.795,Dry
519.8,21.7975,2.45671,3.93555,465.564,Dry
520,1,2.54879,3.93555,396.077,Dry
520.3,32.1963,2.59483,3.98175,409.974,Dry
520.5,52.9939,2.54879,3.93555,583.692,Dry
520.8,84.1902,2.64087,4.16651,416.923,Dry
521,94.589,2.64087,4.2589,451.667,Dry
521.3,104.988,2.73295,4.35128,451.667,Dry
521.5,52.9939,2.96315,4.53605,416.923,Dry
521.8,52.9939,3.10127,4.62843,458.615,Dry
522,63.3926,3.51563,4.67463,361.333,Dry
522.3,32.1963,3.92999,4.76701,430.821,Hard_Water
522.5,42.5951,4.62059,5.09035,382.179,Hard_Water
522.8,63.3926,5.26516,5.45989,507.256,Hard_Water
523,84.1902,5.95576,6.19896,736.564,Hard_Water
523.3,42.5951,7.65925,6.70707,799.103,Hard_Water
523.5,42.5951,9.08649,7.35376,757.41,Hard_Water
523.8,42.5951,10.0073,8.18521,680.974,Hard_Water
524,63.3926,10.9741,9.9867,750.462,Hard_Water
524.3,42.5951,11.8029,11.2339,847.744,Hard_Water
524.5,42.5951,12.4014,12.4349,806.051,Hard_Water
524.8,21.7975,12.8157,13.4049,799.103,Hard_Water
525,42.5951,13.0459,14.6983,764.359,Hard_Water
525.3,52.9939,13.138,15.6221,799.103,Hard_Water
525.5,42.5951,13.4143,16.2226,715.718,Hard_Water
525.8,32.1963,13.5524,16.9155,792.154,Hard_Water
526,21.7975,13.5524,17.2388,792.154,Hard_Water
526.3,1,13.6445,17.5622,736.564,Hard_Water
526.5,11.3988,13.7366,17.6084,729.615,Hard_Water
526.8,32.1963,13.5984,17.8855,813,Hard_Water
527,32.1963,13.5524,18.0703,792.154,Hard_Water
527.3,21.7975,13.3682,18.3474,799.103,Hard_Water
527.5,32.1963,13.3222,18.7632,694.872,Hard_Water
527.8,1,13.1841,19.0865,819.949,Hard_Water
528,11.3988,13.2761,19.6408,847.744,Hard_Water
528.3,42.5951,13.5984,19.8256,729.615,Hard_Water
528.5,42.5951,14.1509,19.918,750.462,Hard_Water
528.8,42.5951,14.7955,20.3799,694.872,Hard_Water
529,32.1963,15.8544,20.7494,924.18,Hard_Water
529.3,21.7975,17.1896,21.4423,757.41,Hard_Water
529.5,32.1963,18.6629,22.32,813,Hard_Water
529.8,1,19.952,23.1976,938.077,Hard_Water
530,42.5951,20.7347,24.3062,680.974,Hard_Water
530.3,11.3988,21.2411,25.7843,819.949,Hard_Water
530.5,1,21.4713,26.8006,708.769,Hard_Water
530.8,11.3988,21.4713,27.5396,632.333,Hard_Water
531,21.7975,21.1951,27.863,743.513,Hard_Water
531.3,32.1963,21.0109,28.1401,771.308,Hard_Water
531.5,1,20.6426,28.3711,632.333,Hard_Water
531.8,11.3988,20.2282,28.0939,819.949,Hard_Water
532,11.3988,19.9059,27.5858,639.282,Hard_Water
532.3,32.1963,19.7678,26.8468,729.615,Hard_Water
532.5,42.5951,19.5837,26.3387,736.564,Hard_Water
532.8,11.3988,19.1693,26.0615,799.103,Hard_Water
533,1,18.6629,25.9691,833.846,Hard_Water
533.3,42.5951,17.7881,26.2463,778.256,Hard_Water
533.5,21.7975,17.3277,26.3848,736.564,Hard_Water
533.8,21.7975,17.0054,26.0615,694.872,Hard_Water
534,42.5951,16.591,25.5072,680.974,Hard_Water
534.3,32.1963,16.4069,25.0453,785.205,Hard_Water
534.5,63.3926,16.1767,24.3062,708.769,Hard_Water
534.8,32.1963,15.9465,23.9829,674.026,Hard_Water
535,52.9939,15.7163,23.8443,771.308,Hard_Water
535.3,21.7975,15.4861,23.5209,701.82,Hard_Water
535.5,42.5951,15.3019,23.29,583.692,Hard_Water
535.8,11.3988,15.2559,22.8281,799.103,Hard_Water
536,11.3988,15.348,22.6433,653.18,Hard_Water
536.3,11.3988,15.1638,22.5047,674.026,Hard_Water
536.5,52.9939,14.9336,22.3661,680.974,Hard_Water
536.8,21.7975,14.7034,22.32,590.641,Hard_Water
537,21.7975,14.7034,21.858,722.667,Hard_Water
537.3,32.1963,14.6574,21.5809,785.205,Hard_Water
537.5,21.7975,14.8876,21.3037,701.82,Hard_Water
537.8,73.7914,15.0717,21.119,764.359,Hard_Water
538,21.7975,15.0257,21.119,653.18,Hard_Water
538.3,11.3988,14.8415,21.3037,868.59,Hard_Water
538.5,1,14.7494,21.8118,847.744,Hard_Water
538.8,32.1963,14.7034,22.2276,701.82,Hard_Water
539,11.3988,14.5653,22.3661,708.769,Hard_Water
539.3,11.3988,14.7955,22.5047,778.256,Hard_Water
539.5,32.1963,14.9336,22.32,757.41,Hard_Water
539.8,42.5951,15.3019,22.2738,597.59,Hard_Water
540,42.5951,15.7163,22.32,680.974,Hard_Water
540.3,1,16.4069,22.2738,555.897,Hard_Water
540.5,1,17.0054,22.4123,639.282,Hard_Water
540.8,63.3926,17.2586,22.5509,639.282,Hard_Water
541,21.7975,17.65,22.3661,694.872,Hard_Water
541.3,11.3988,17.9262,21.7195,674.026,Hard_Water
541.5,42.5951,17.8802,20.7032,729.615,Hard_Water
541.8,42.5951,17.5118,19.7794,687.923,Hard_Water
542,42.5951,16.4069,19.2251,750.462,Hard_Water
542.3,42.5951,15.2559,18.8094,708.769,Hard_Water
542.5,11.3988,14.289,18.1165,715.718,Hard_Water
542.8,42.5951,13.6905,17.516,785.205,Dry
543,63.3926,13.2761,16.4536,632.333,Dry
543.3,21.7975,12.8157,14.6983,806.051,Dry
543.5,1,12.2633,12.6196,785.205,Dry
543.8,21.7975,11.5727,9.70955,660.128,Dry
544,1,10.5598,7.81568,680.974,Dry
544.3,11.3988,8.58005,7.39995,674.026,Dry
544.5,32.1963,5.5414,7.1228,542,Dry
544.8,42.5951,4.43643,7.1228,389.128,Dry
545,94.589,3.88395,6.89184,319.641,Dry
545.3,52.9939,3.69979,6.89184,396.077,Dry
545.5,32.1963,3.56167,6.70707,479.462,Dry
545.8,63.3926,3.65375,6.33754,542,Dry
546,52.9939,3.46959,6.10658,458.615,Dry
546.3,73.7914,3.42355,5.87562,521.154,Dry
546.5,84.1902,3.42355,5.59846,555.897,Dry
546.8,136.184,3.42355,5.45989,542,Dry
547,73.7914,3.28543,5.22893,576.744,Dry
547.3,188.178,3.28543,4.85939,576.744,Dry
547.5,84.1902,3.51563,4.72082,479.462,Dry
547.8,52.9939,3.56167,4.72082,514.205,Dry
548,42.5951,3.51563,4.8132,416.923,Dry
548.3,73.7914,3.37751,5.04416,555.897,Dry
548.5,115.387,3.23939,5.27512,444.718,Dry
548.8,63.3926,3.10127,5.64466,416.923,Dry
549,73.7914,3.19335,5.73704,500.308,Dry
549.3,42.5951,3.33147,5.36751,465.564,Dry
549.5,11.3988,3.56167,5.32131,444.718,Dry
549.8,42.5951,3.97603,5.27512,562.846,Dry
550,32.1963,4.85079,5.13655,514.205,Dry
550.3,32.1963,5.5414,4.99797,674.026,Dry
550.5,21.7975,5.90972,5.27512,562.846,Dry
550.8,32.1963,5.95576,5.73704,569.795,Dry
551,21.7975,5.90972,6.33754,646.231,Dry
551.3,42.5951,5.90972,6.47611,680.974,Dry
551.5,42.5951,6.0018,6.79946,667.077,Dry
551.8,11.3988,6.18596,7.1228,625.385,Dry
552,42.5951,6.60032,7.21518,660.128,Dry
552.3,32.1963,7.06072,7.58472,667.077,Dry
552.5,1,7.79737,7.81568,667.077,Dry
552.8,32.1963,8.34985,8.13902,569.795,Dry
553,11.3988,8.81025,8.50856,646.231,Dry
553.3,21.7975,9.31669,8.87809,694.872,Dry
553.5,32.1963,9.59293,9.4324,618.436,Dry
553.8,11.3988,9.68501,9.84813,632.333,Dry
554,11.3988,9.82314,10.2177,576.744,Dry
554.3,42.5951,10.0994,10.6796,583.692,Dry
554.5,21.7975,10.2375,11.0953,535.051,Dry
554.8,42.5951,10.4217,11.4648,604.538,Dry
555,11.3988,10.6058,11.7882,597.59,Dry
555.3,1,10.6979,12.1115,569.795,Dry
555.5,52.9939,10.836,12.712,715.718,Dry
555.8,11.3988,11.0202,12.943,542,Dry
556,1,11.1583,13.4049,562.846,Dry
556.3,11.3988,11.3885,13.8206,569.795,Dry
556.5,32.1963,11.6647,14.4673,604.538,Dry
556.8,42.5951,11.8949,14.9754,583.692,Dry
557,42.5951,12.3093,15.2988,639.282,Dry
557.3,11.3988,12.8618,15.6221,583.692,Dry
557.5,11.3988,13.6905,15.6683,542,Dry
557.8,1,14.6574,15.4835,611.487,Dry
558,11.3988,15.6242,15.0678,521.154,Dry
558.3,32.1963,15.9465,15.0678,576.744,Dry
558.5,11.3988,15.6702,14.883,535.051,Dry
558.8,11.3988,14.8876,14.6983,611.487,Dry
559,21.7975,13.6905,14.5135,548.949,Dry
559.3,42.5951,12.4474,14.0978,569.795,Dry
559.5,11.3988,11.4345,13.1739,555.897,Dry
559.8,42.5951,10.8821,11.8806,542,Dry
560,84.1902,10.4677,9.89432,674.026,Dry
560.3,42.5951,10.0533,8.60094,451.667,Dry
560.5,104.988,9.04045,7.76949,576.744,Dry
560.8,52.9939,7.38301,7.35376,451.667,Dry
561,42.5951,6.32408,7.26138,507.256,Dry
561.3,32.1963,5.35724,7.26138,569.795,Dry
561.5,42.5951,4.80475,7.16899,430.821,Dry
561.8,52.9939,4.57455,6.84565,493.359,Dry
562,125.785,4.57455,6.5223,458.615,Dry
562.3,42.5951,4.71267,6.24515,535.051,Dry
562.5,21.7975,4.62059,5.82942,542,Dry
562.8,21.7975,4.57455,5.4137,500.308,Dry
563,21.7975,4.29831,5.36751,396.077,Dry
563.3,73.7914,4.16019,5.09035,458.615,Dry
563.5,42.5951,4.02207,5.04416,354.385,Dry
563.8,52.9939,3.92999,4.95178,340.487,Dry
564,84.1902,3.79187,4.8132,423.872,Dry
564.3,115.387,3.88395,4.72082,458.615,Dry
564.5,42.5951,4.02207,4.76701,451.667,Dry
564.8,32.1963,3.92999,4.72082,479.462,Dry
565,52.9939,3.60771,4.67463,493.359,Dry
565.3,32.1963,3.60771,4.85939,368.282,Dry
565.5,73.7914,3.74583,4.90559,486.41,Dry
565.8,125.785,4.25227,4.95178,479.462,Dry
566,11.3988,5.081,5.04416,486.41,Dry
566.3,52.9939,5.95576,5.32131,486.41,Dry
566.5,32.1963,6.73844,5.87562,576.744,Dry
566.8,11.3988,7.29093,6.47611,479.462,Dry
567,21.7975,7.42905,7.03042,555.897,Dry
567.3,42.5951,7.47509,7.35376,548.949,Dry
567.5,32.1963,7.70529,7.76949,416.923,Dry
567.8,32.1963,7.93549,7.81568,507.256,Dry
568,42.5951,7.88945,8.00045,465.564,Dry
568.3,32.1963,7.98153,7.95426,430.821,Dry
568.5,32.1963,8.07361,8.00045,548.949,Dry
568.8,52.9939,8.02757,7.95426,479.462,Dry
569,32.1963,7.84341,8.09283,472.513,Dry
569.3,63.3926,7.42905,8.18521,562.846,Dry
569.5,42.5951,7.1528,8.04664,416.923,Dry
569.8,21.7975,7.1528,7.95426,521.154,Dry
570,63.3926,7.75133,7.63091,465.564,Dry
570.3,32.1963,8.25777,7.44614,528.103,Dry
570.5,11.3988,8.21173,7.53853,403.026,Dry
570.8,11.3988,7.47509,7.49234,542,Dry
571,63.3926,6.73844,7.53853,437.769,Dry
571.3,32.1963,6.60032,7.58472,458.615,Dry
571.5,42.5951,6.60032,7.6771,409.974,Dry
571.8,63.3926,6.96864,7.63091,361.333,Dry
572,42.5951,7.1528,7.81568,396.077,Dry
572.3,1,7.24488,7.76949,340.487,Dry
572.5,32.1963,7.29093,8.00045,500.308,Dry
572.8,42.5951,7.29093,8.04664,542,Dry
573,21.7975,7.10676,8.04664,389.128,Dry
573.3,73.7914,7.10676,7.90806,555.897,Dry
573.5,11.3988,6.78448,8.04664,416.923,Dry
573.8,42.5951,6.32408,8.09283,437.769,Dry
574,32.1963,6.13992,8.04664,451.667,Dry
574.3,42.5951,6.18596,8.18521,423.872,Dry
574.5,73.7914,6.73844,8.2776,347.436,Dry
574.8,21.7975,7.42905,8.46237,389.128,Dry
575,21.7975,8.11965,8.46237,375.231,Dry
575.3,42.5951,8.58005,8.92429,451.667,Dry
575.5,52.9939,8.81025,9.47859,451.667,Dry
575.8,42.5951,9.04045,9.80193,423.872,Dry
576,21.7975,9.22461,10.1253,416.923,Dry
576.3,11.3988,9.54689,10.3562,319.641,Dry
576.5,84.1902,9.68501,10.772,368.282,Dry
576.8,42.5951,9.82314,11.0953,382.179,Dry
577,11.3988,10.1915,11.6496,361.333,Dry
577.3,11.3988,10.4217,12.0191,375.231,Dry
577.5,1,10.836,12.6658,375.231,Dry
577.8,11.3988,11.2504,12.9892,465.564,Dry
578,21.7975,11.8489,13.4973,479.462,Dry
578.3,11.3988,12.4935,14.0054,382.179,Dry
578.5,11.3988,13.4143,14.4211,430.821,Dry
578.8,1,14.3351,14.883,409.974,Dry
579,32.1963,15.1638,15.6221,514.205,Dry
579.3,21.7975,15.7163,16.7307,409.974,Dry
579.5,1,15.8084,17.3774,361.333,Dry
579.8,1,15.8084,18.0703,486.41,Dry
580,11.3988,16.1767,18.0241,312.692,Dry
580.3,52.9939,16.1767,17.2388,423.872,Dry
580.5,32.1963,16.1306,16.3612,396.077,Dry
580.8,21.7975,15.4861,15.5297,333.538,Dry
581,32.1963,14.3811,14.9754,458.615,Dry
581.3,52.9939,13.1841,14.9292,451.667,Dry
581.5,11.3988,12.4014,14.7907,451.667,Dry
581.8,11.3988,11.8029,14.7907,354.385,Dry
582,52.9939,11.2964,14.6059,354.385,Dry
582.3,11.3988,11.0202,14.5135,382.179,Dry
582.5,42.5951,11.0202,13.9592,368.282,Dry
582.8,32.1963,10.4677,13.6821,326.59,Dry
583,21.7975,10.0533,13.2201,409.974,Dry
583.3,11.3988,9.82314,12.8506,396.077,Dry
583.5,11.3988,9.63898,12.4811,403.026,Dry
583.8,32.1963,9.54689,12.3887,437.769,Dry
584,21.7975,9.45481,12.1577,458.615,Dry
584.3,11.3988,9.50085,11.973,354.385,Dry
584.5,21.7975,9.54689,11.7882,382.179,Dry
584.8,42.5951,9.7771,11.742,354.385,Dry
585,21.7975,9.7771,11.4648,319.641,Dry
585.3,1,9.73106,11.511,326.59,Dry
585.5,21.7975,9.63898,11.3263,264.051,Dry
585.8,11.3988,9.7771,11.4648,319.641,Dry
586,32.1963,9.73106,11.4187,333.538,Dry
586.3,1,9.73106,11.3725,291.846,Dry
586.5,11.3988,9.68501,11.4187,257.103,Dry
586.8,11.3988,9.63898,11.2339,291.846,Dry
587,52.9939,9.68501,11.2339,368.282,Dry
587.3,42.5951,9.7771,11.2339,423.872,Dry
587.5,42.5951,9.68501,10.9567,361.333,Dry
587.8,1,9.7771,10.6334,396.077,Dry
588,32.1963,9.68501,10.4486,389.128,Dry
588.3,11.3988,9.50085,10.2177,333.538,Dry
588.5,11.3988,9.17857,9.9867,416.923,Dry
588.8,32.1963,8.67213,9.57097,451.667,Dry
589,42.5951,8.44193,9.24763,437.769,Dry
589.3,42.5951,8.30381,9.06286,444.718,Dry
589.5,42.5951,7.88945,8.78571,361.333,Dry
589.8,32.1963,7.52113,8.55475,416.923,Dry
590,42.5951,7.01468,8.32379,465.564,Dry
590.3,32.1963,6.9226,8.09283,444.718,Dry
590.5,52.9939,6.78448,7.86187,507.256,Dry
590.8,1,6.50824,7.76949,396.077,Dry
591,11.3988,6.13992,7.49234,319.641,Dry
591.3,63.3926,6.13992,7.44614,465.564,Dry
591.5,42.5951,6.37012,7.49234,396.077,Dry
591.8,42.5951,6.50824,7.7002,430.821,Dry
592,21.7975,7.06072,7.81568,542,Dry
592.3,42.5951,8.07361,8.2776,451.667,Dry
592.5,21.7975,8.99441,8.50856,514.205,Dry
592.8,11.3988,9.63898,9.20144,472.513,Dry
593,21.7975,9.96126,9.61717,409.974,Dry
593.3,11.3988,10.0994,9.94051,423.872,Dry
593.5,11.3988,10.1915,10.31,465.564,Dry
593.8,11.3988,10.2835,10.4486,521.154,Dry
594,52.9939,10.3296,10.772,416.923,Dry
594.3,11.3988,10.2835,11.0491,430.821,Dry
594.5,1,10.4217,11.2801,500.308,Dry
594.8,63.3926,10.6519,11.3263,507.256,Dry
595,11.3988,10.6979,11.511,423.872,Dry
595.3,11.3988,10.7439,11.5572,368.282,Dry
595.5,11.3988,10.836,11.6496,382.179,Dry
595.8,42.5951,10.836,11.8344,542,Dry
596,32.1963,10.79,11.9268,423.872,Dry
596.3,21.7975,10.8821,12.0191,444.718,Dry
596.5,21.7975,10.836,12.1115,569.795,Dry
596.8,11.3988,10.8821,12.1577,521.154,Dry
597,42.5951,10.8821,12.2039,396.077,Dry
597.3,11.3988,10.9281,12.2963,521.154,Dry
597.5,32.1963,10.9741,12.2501,448.192,Dry
597.8,1,10.9741,12.3425,465.564,Dry
598,11.3988,10.9281,12.2963,576.744,Dry
598.3,11.3988,10.9741,12.2963,514.205,Dry
598.5,94.589,10.9281,12.2039,535.051,Dry
598.8,32.1963,10.9741,12.2501,576.744,Dry
599,32.1963,10.8821,12.2501,583.692,Dry
599.3,11.3988,10.8821,12.1577,548.949,Dry
599.5,21.7975,11.0202,12.1577,660.128,Dry
599.8,32.1963,11.0202,12.2039,542,Dry
600,42.5951,10.8821,12.0653,521.154,Dry
600.3,42.5951,10.6979,12.1115,583.692,Dry
600.5,11.3988,10.4217,12.1115,660.128,Dry
600.8,21.7975,10.3756,12.2039,847.744,Dry
601,1,10.3296,12.0653,555.897,Dry
601.3,1,10.2835,12.1577,778.256,Dry
601.5,32.1963,10.3296,12.0191,736.564,Dry
601.8,11.3988,10.2375,12.1115,625.385,Dry
602,1,10.2835,12.1577,660.128,Dry
602.3,11.3988,10.4677,12.0653,597.59,Dry
602.5,32.1963,10.6058,12.0191,806.051,Dry
602.8,21.7975,10.79,11.742,646.231,Dry
603,11.3988,11.0202,11.3725,778.256,Dry
603.3,32.1963,11.1583,10.772,771.308,Dry
603.5,11.3988,11.2964,9.9867,771.308,Dry
603.8,11.3988,11.0662,9.15525,778.256,Dry
604,11.3988,10.5598,7.76949,882.487,Dry
604.3,21.7975,9.63898,6.29134,875.538,Dry
604.5,11.3988,8.16569,5.59846,729.615,Dry
604.8,52.9939,6.27804,5.18274,778.256,Dry
605,32.1963,4.43643,4.72082,493.359,Dry
605.3,115.387,3.51563,4.30509,375.231,Dry
605.5,73.7914,2.68691,3.93555,375.231,Dry
605.8,52.9939,2.31858,3.51983,389.128,Dry
606,52.9939,2.13442,3.15029,486.41,Dry
606.3,104.988,2.13442,2.96552,375.231,Dry
606.5,63.3926,1.9963,2.5498,291.846,Dry
606.8,73.7914,1.90422,2.59599,514.205,Dry
607,73.7914,1.81214,2.41122,396.077,Dry
607.3,52.9939,1.81214,2.31884,465.564,Dry
607.5,125.785,1.72006,2.31884,354.385,Dry
607.8,73.7914,1.81214,2.22645,458.615,Dry
608,125.785,1.81214,2.31884,423.872,Dry
608.3,73.7914,1.81214,2.18026,465.564,Dry
608.5,104.988,1.85818,2.27264,368.282,Dry
608.8,94.589,1.81214,2.13407,458.615,Dry
609,94.589,1.81214,2.13407,472.513,Dry
609.3,94.589,1.90422,2.13407,430.821,Dry
609.5,104.988,1.7661,2.13407,500.308,Dry
609.8,42.5951,1.81214,2.27264,416.923,Dry
610,63.3926,1.81214,2.34193,409.974,Dry
610.3,94.589,1.90422,2.45741,430.821,Dry
610.5,11.3988,2.2265,2.5498,451.667,Dry
610.8,63.3926,2.59483,2.68837,472.513,Dry
611,63.3926,3.14731,2.5498,667.077,Dry
611.3,42.5951,4.43643,2.41122,708.769,Dry
611.5,84.1902,5.72556,2.64218,639.282,Dry
611.8,42.5951,4.66663,2.82695,646.231,Dry
612,84.1902,3.79187,3.38125,430.821,Dry
612.3,84.1902,3.23939,3.42744,472.513,Dry
612.5,21.7975,2.77899,3.61221,465.564,Dry
612.8,73.7914,2.54879,3.56602,375.231,Dry
613,167.38,2.31858,3.28887,368.282,Dry
613.3,52.9939,2.27254,3.1041,389.128,Dry
613.5,73.7914,2.13442,3.05791,271,Dry
613.8,32.1963,2.2265,3.05791,340.487,Dry
614,52.9939,2.36462,3.1041,430.821,Dry
614.3,32.1963,2.41066,3.19648,479.462,Dry
614.5,73.7914,2.50275,3.19648,319.641,Dry
614.8,73.7914,2.54879,3.33506,354.385,Dry
615,52.9939,2.54879,3.38125,368.282,Dry
615.3,63.3926,2.59483,3.24268,305.744,Dry
615.5,42.5951,2.59483,3.15029,430.821,Dry
615.8,52.9939,2.68691,3.15029,291.846,Dry
616,32.1963,2.64087,3.01172,437.769,Dry
616.3,73.7914,2.68691,3.15029,368.282,Dry
616.5,63.3926,2.68691,3.1041,389.128,Dry
616.8,11.3988,2.45671,3.01172,333.538,Dry
617,21.7975,2.41066,3.15029,382.179,Dry
617.3,73.7914,2.50275,3.19648,361.333,Dry
617.5,52.9939,2.41066,3.05791,416.923,Dry
617.8,58.1933,2.50275,2.96552,396.077,Dry
618,11.3988,2.41066,2.87314,437.769,Dry
618.3,32.1963,2.45671,2.91933,382.179,Dry
618.5,52.9939,2.45671,2.96552,361.333,Dry
618.8,73.7914,2.50275,2.78076,361.333,Dry
619,21.7975,2.50275,2.87314,535.051,Dry
619.3,104.988,2.54879,2.87314,521.154,Dry
619.5,94.589,2.41066,2.91933,521.154,Dry
619.8,63.3926,2.50275,3.05791,451.667,Dry
620,52.9939,2.59483,3.15029,382.179,Dry
620.3,73.7914,2.50275,3.01172,451.667,Dry
620.5,73.7914,2.64087,2.96552,409.974,Dry
620.8,42.5951,2.64087,2.87314,409.974,Dry
621,21.7975,2.64087,2.78076,451.667,Dry
621.3,115.387,2.59483,2.73456,389.128,Dry
621.5,52.9939,2.50275,2.82695,305.744,Dry
621.8,73.7914,2.45671,2.82695,451.667,Dry
622,84.1902,2.50275,2.91933,382.179,Dry
622.3,52.9939,2.45671,2.78076,347.436,Dry
622.5,42.5951,2.27254,2.91933,396.077,Dry
622.8,63.3926,2.41066,2.82695,333.538,Dry
623,84.1902,2.41066,3.01172,423.872,Dry
623.3,32.1963,2.45671,2.91933,472.513,Dry
623.5,32.1963,2.45671,2.87314,389.128,Dry
623.8,52.9939,2.41066,2.91933,396.077,Dry
624,63.3926,2.54879,2.87314,507.256,Dry
624.3,73.7914,2.59483,2.87314,291.846,Dry
624.5,63.3926,2.54879,2.87314,462.09,Dry
624.8,52.9939,2.59483,2.82695,514.205,Dry
625,52.9939,2.59483,2.82695,409.974,Dry
625.3,73.7914,2.64087,2.96552,500.308,Dry
625.5,63.3926,2.54879,2.91933,583.692,Dry
625.8,52.9939,2.45671,2.91933,486.41,Dry
626,42.5951,2.41066,2.98862,514.205,Dry
626.3,42.5951,2.45671,3.01172,326.59,Dry
626.5,52.9939,2.36462,2.91933,368.282,Dry
626.8,52.9939,2.45671,2.96552,486.41,Dry
627,42.5951,2.50275,2.87314,465.564,Dry
627.3,73.7914,2.54879,2.85004,465.564,Dry
627.5,37.3957,2.54879,2.91933,486.41,Dry
627.8,52.9939,2.54879,2.82695,368.282,Dry
628,104.988,2.54879,2.91933,479.462,Dry
628.3,42.5951,2.54879,2.87314,389.128,Dry
628.5,1,2.41066,2.91933,298.795,Dry
628.8,68.592,2.41066,2.82695,416.923,Dry
629,94.589,2.31858,2.82695,458.615,Dry
629.3,94.589,2.27254,2.68837,507.256,Dry
629.5,73.7914,2.36462,2.91933,451.667,Dry
629.8,42.5951,2.31858,2.87314,389.128,Dry
630,52.9939,2.31858,2.87314,409.974,Dry
630.3,32.1963,2.31858,2.87314,305.744,Dry
630.5,52.9939,2.36462,2.78076,423.872,Dry
630.8,42.5951,2.41066,2.78076,368.282,Dry
