     Depth,     GAMMA,  RES(16N),  RES(64N),   NEUTRON,Outcome
500,73.7914,0,9.10905,0,Dry
500.3,42.5951,0,8.46237,0,Dry
500.5,42.5951,6.60032,8.00045,0,Dry
500.8,73.7914,6.50824,7.6771,368.282,Dry
501,52.9939,6.4622,7.44614,382.179,Dry
501.3,32.1963,6.13992,7.35376,340.487,Dry
501.5,21.7975,5.63348,7.44614,305.744,Dry
501.8,21.7975,5.35724,7.58472,347.436,Dry
502,52.9939,5.12704,7.16899,361.333,Dry
502.3,52.9939,4.98892,6.93803,319.641,Dry
502.5,73.7914,4.71267,6.70707,312.692,Dry
502.8,32.1963,4.52851,6.66088,312.692,Dry
503,52.9939,4.52851,6.33754,284.897,Dry
503.3,42.5951,4.48247,6.15277,347.436,Dry
503.5,73.7914,4.34435,6.06038,298.795,Dry
503.8,94.589,4.34435,6.10658,298.795,Dry
504,21.7975,4.39039,5.968,291.846,Dry
504.3,1,4.39039,5.92181,354.385,Dry
504.5,32.1963,4.52851,5.82942,326.59,Dry
504.8,21.7975,4.80475,5.78323,326.59,Dry
505,52.9939,4.98892,5.73704,298.795,Dry
505.3,32.1963,5.17308,5.82942,319.641,Dry
505.5,21.7975,5.21912,5.78323,389.128,Dry
505.8,52.9939,5.12704,5.87562,486.41,Dry
506,52.9939,4.71267,6.01419,375.231,Dry
506.3,21.7975,4.52851,6.01419,305.744,Dry
506.5,1,4.29831,5.968,396.077,Dry
506.8,32.1963,3.97603,5.64466,298.795,Dry
507,32.1963,3.97603,5.64466,340.487,Dry
507.3,11.3988,3.88395,5.4137,298.795,Dry
507.5,52.9939,3.83791,5.27512,277.949,Dry
507.8,32.1963,3.79187,5.13655,326.59,Dry
508,42.5951,3.74583,5.04416,326.59,Dry
508.3,63.3926,3.56167,4.90559,312.692,Dry
508.5,52.9939,3.56167,4.85939,302.269,Dry
508.8,11.3988,3.42355,4.58224,326.59,Dry
509,42.5951,3.51563,4.53605,305.744,Dry
509.3,11.3988,3.37751,4.35128,319.641,Dry
