     Depth,  GAM(NAT),  RES(16N),   RES(64),   NEUTRON,Outcome
185,42.5951,41.2225,80.1181,340.487,Dry
185.3,68.592,40.9463,82.4803,396.077,Dry
185.5,21.7975,40.2097,83.4646,430.821,Dry
185.8,32.1963,36.8027,83.4646,569.795,Dry
186,32.1963,33.5108,83.4646,493.359,Dry
186.3,32.1963,34.0863,83.4646,396.077,Dry
186.5,58.1933,33.718,83.4646,444.718,Dry
186.8,42.5951,36.02,83.4646,396.077,Dry
187,42.5951,37.0329,82.874,423.872,Dry
187.3,32.1963,37.3552,81.8898,409.974,Dry
187.5,73.7914,39.0126,81.8898,423.872,Dry
187.8,84.1902,39.9334,80.1181,277.949,Dry
188,52.9939,40.0715,80.1181,389.128,Dry
188.3,63.3926,37.8386,78.7402,371.756,Dry
188.5,42.5951,34.0863,78.7402,354.385,Dry
188.8,52.9939,33.718,76.9685,347.436,Dry
189,42.5951,38.5983,76.9685,385.654,Dry
189.3,47.7945,37.0329,77.7559,458.615,Dry
189.5,52.9939,36.6185,77.7559,354.385,Dry
189.8,68.592,36.0891,80.5118,423.872,Dry
190,42.5951,34.7769,82.4803,389.128,Dry
190.3,89.3896,34.823,83.8583,375.231,Dry
190.5,104.988,35.2373,84.252,409.974,Dry
190.8,11.3988,36.2962,84.252,389.128,Dry
191,84.1902,36.2502,80.5118,507.256,Dry
191.3,52.9939,36.6646,80.5118,347.436,Dry
191.5,84.1902,35.2834,78.3465,444.718,Dry
191.8,32.1963,35.2834,78.3465,423.872,Dry
192,32.1963,35.6056,78.3465,486.41,Dry
192.3,21.7975,35.5596,74.6063,430.821,Dry
192.5,63.3926,38.9205,74.6063,493.359,Dry
192.8,52.9939,39.6572,73.622,674.026,Dry
193,11.3988,37.9307,75.5906,521.154,Dry
193.3,94.589,37.2631,76.378,437.769,Dry
193.5,104.988,35.5596,76.378,423.872,Dry
193.8,94.589,33.672,75.5906,479.462,Dry
194,84.1902,33.1195,75,493.359,Dry
194.3,52.9939,32.567,74.6063,396.077,Dry
194.5,52.9939,32.4289,74.6063,361.333,Dry
194.8,32.1963,33.0274,74.6063,416.923,Dry
195,104.988,35.6056,73.622,361.333,Dry
195.3,73.7914,35.5136,76.378,486.41,Dry
195.5,63.3926,35.6977,79.7244,451.667,Dry
195.8,52.9939,35.8819,83.8583,465.564,Dry
196,115.387,35.1913,81.4961,298.795,Dry
196.3,32.1963,34.0403,79.7244,382.179,Dry
196.5,84.1902,36.2272,75.9843,423.872,Dry
196.8,52.9939,35.4675,72.6378,347.436,Dry
197,84.1902,35.6977,69.8819,451.667,Dry
197.3,63.3926,34.869,68.5039,403.026,Dry
197.5,32.1963,33.1195,68.5039,674.026,Dry
197.8,52.9939,33.3497,69.4882,493.359,Dry
198,11.3988,36.2042,71.8504,284.897,Dry
198.3,42.5951,35.0992,72.6378,423.872,Dry
198.5,63.3926,34.6848,73.622,409.974,Dry
198.8,63.3926,27.8249,73.622,423.872,Dry
199,42.5951,33.4878,73.622,416.923,Dry
199.3,52.9939,34.3626,73.2283,409.974,Dry
199.5,84.1902,34.0403,72.2441,479.462,Dry
199.8,52.9939,30.8635,70.4724,368.282,Dry
200,84.1902,33.3497,68.5039,409.974,Dry
200.3,73.7914,24.579,64.7638,333.538,Dry
200.5,73.7914,10.0994,62.9921,500.308,Dry
200.8,68.592,11.4345,62.9921,701.82,Dry
201,52.9939,13.7826,63.3858,548.949,Dry
201.3,68.592,16.6601,61.2205,729.615,Dry
201.5,63.3926,17.9722,60.2362,785.205,Dry
201.8,42.5951,22.1159,51.9685,1292.46,Dry
202,11.3988,28.009,51.9685,1070.1,Dry
202.3,21.7975,28.5615,51.9685,1236.87,Dry
202.5,52.9939,22.8065,50,917.231,Dry
202.8,32.1963,18.8931,49.0157,465.564,Dry
203,94.589,17.4658,49.0157,416.923,Dry
203.3,73.7914,16.2227,49.0157,403.026,Dry
203.5,63.3926,16.499,49.0157,347.436,Dry
203.8,52.9939,16.8673,50,423.872,Dry
204,73.7914,17.696,51.9685,409.974,Dry
204.3,42.5951,19.0772,52.7559,451.667,Dry
204.5,73.7914,19.6297,53.3465,416.923,Dry
204.8,58.1933,21.149,54.1339,618.436,Dry
205,84.1902,24.2798,55.5118,555.897,Dry
205.3,52.9939,25.9832,57.4803,792.154,Dry
205.5,32.1963,30.0808,59.252,1243.82,Dry
205.8,1,40.578,64.7638,1125.69,Dry
206,11.3988,46.333,65.748,1195.18,Dry
206.3,1,50.9831,69.0945,1000.62,Hard_water
206.5,11.3988,52.7786,70.8661,1278.56,Hard_water
206.8,11.3988,51.2133,73.2283,1090.95,Hard_water
207,32.1963,47.3919,78.3465,1174.33,Hard_water
207.3,11.3988,43.8929,86.6142,802.577,Hard_water
207.5,21.7975,42.5577,91.7323,521.154,Hard_water
207.8,1,41.5909,94.4882,694.872,Hard_water
208,1,43.3864,107.504,965.872,Hard_water
208.3,1,51.9499,102.781,958.923,Hard_water
208.5,1,57.1064,108.169,764.359,Hard_water
208.8,6.19939,58.5797,144.882,799.103,Hard_water
209,21.7975,60.9277,155.906,896.385,Hard_water
209.3,21.7975,64.4268,159.055,910.282,Hard_water
209.5,11.3988,66.1763,164.567,1153.49,Hard_water
209.8,11.3988,68.1561,172.441,1000.62,Hard_water
210,11.3988,74.0032,176.378,896.385,Hard_water
210.3,32.1963,79.0676,176.378,1007.56,Hard_water
210.5,11.3988,81.7379,185.039,917.231,Hard_water
210.8,63.3926,84.5464,192.913,819.949,Hard_water
211,32.1963,86.9405,194.488,767.833,Hard_water
211.3,32.1963,89.9331,194.488,826.897,Hard_water
211.5,1,97.0233,194.488,785.205,Hard_water
211.8,1,102.18,192.913,785.205,Hard_water
212,6.19939,103.607,188.976,819.949,Hard_water
212.3,1,104.804,183.465,882.487,Hard_water
212.5,1,108.349,176.378,854.692,Hard_water
212.8,11.3988,108.211,166.929,972.82,Hard_water
213,1,105.403,159.055,1021.46,Hard_water
213.3,11.3988,104.39,155.906,896.385,Hard_water
213.5,11.3988,102.64,150.394,771.308,Hard_water
213.8,11.3988,99.3253,148.031,771.308,Hard_water
214,32.1963,97.5297,144.882,868.59,Hard_water
214.3,32.1963,96.2406,140.945,861.641,Hard_water
214.5,11.3988,91.8207,137.008,972.82,Hard_water
214.8,21.7975,86.3419,133.071,858.167,Hard_water
215,1,83.7637,131.496,1014.51,Hard_water
215.3,21.7975,82.2904,131.496,1191.71,Hard_water
215.5,32.1963,81.1854,135.433,1243.82,Hard_water
215.8,32.1963,84.7996,170.079,1181.28,Hard_water
216,21.7975,88.69,172.441,896.385,Hard_water
216.3,6.19939,93.7084,176.378,994.488,Hard_water
216.5,1,93.6623,179.528,1051.18,Hard_water
216.8,11.3988,95.2737,179.528,1055.91,Hard_water
217,21.7975,97.3916,181.89,1039.37,Hard_water
217.3,11.3988,99.9238,183.465,1077.17,Hard_water
217.5,11.3988,100.937,188.976,1051.18,Hard_water
217.8,1,103.883,198.425,1027.56,Hard_water
218,11.3988,105.264,209.449,945.026,Hard_water
218.3,1,108.579,220.472,1044.09,Hard_water
218.5,21.7975,108.395,231.496,1051.18,Hard_water
218.8,11.3988,108.487,237.008,1055.91,Hard_water
219,6.19939,111.94,237.008,1055.91,Hard_water
219.3,1,115.393,242.52,1018.11,Hard_water
219.5,1,115.67,244.882,1001.57,Hard_water
219.8,1,112.24,244.882,1001.57,Hard_water
220,21.7975,110.835,244.882,1018.11,Hard_water
220.3,11.3988,107.659,246.457,1100.79,Hard_water
220.5,11.3988,104.482,250.394,1088.98,Hard_water
220.8,1,95.7341,240.945,1000.62,Hard_water
221,1,88.3217,229.921,965.872,Hard_water
221.3,1,79.1136,220.472,1056.21,Hard_water
221.5,1,74.2334,214.961,1198.65,Hard_water
221.8,11.3988,69.8135,207.874,1035.36,Hard_water
222,11.3988,67.1892,200,1153.49,Hard_water
222.3,1,64.8412,192.913,1101.37,Hard_water
222.5,11.3988,61.9406,183.465,979.769,Hard_water
222.8,21.7975,60.1911,176.378,792.154,Hard_water
223,47.7945,59.1782,166.929,750.462,Hard_water
223.3,11.3988,58.7408,161.417,708.769,Hard_water
223.5,21.7975,59.2703,157.48,1028.41,Hard_water
223.8,42.5951,57.6129,153.543,1018.11,Hard_water
224,21.7975,62.355,150.394,1039.37,Hard_water
224.3,1,68.5244,150.394,1060.63,Hard_water
224.5,1,75.3844,146.457,1088.98,Hard_water
224.8,11.3988,80.0344,150.394,1060.63,Hard_water
225,1,81.5077,162.992,1034.65,Hard_water
225.3,32.1963,82.1523,176.378,1067.72,Hard_water
225.5,21.7975,85.1909,179.528,1044.09,Hard_water
225.8,11.3988,91.4524,185.039,1011.02,Hard_water
226,32.1963,76.4433,200,989.764,Hard_water
226.3,1,99.5094,209.449,977.953,Hard_water
226.5,11.3988,101.075,214.961,982.677,Hard_water
226.8,16.5982,109.938,224.409,1060.63,Hard_water
227,6.19939,112.263,233.071,1027.56,Hard_water
227.3,6.19939,113.874,242.52,1150.39,Hard_water
227.5,1,114.887,251.969,1178.74,Hard_water
227.8,11.3988,115.209,255.906,1166.93,Hard_water
228,1,117.097,261.417,1117.32,Hard_water
228.3,21.7975,120.55,264.567,1051.18,Hard_water
228.5,21.7975,116.774,270.079,1072.44,Hard_water
228.8,11.3988,117.972,272.441,1108.32,Hard_water
229,1,118.202,276.378,972.82,Hard_water
229.3,1,123.174,285.039,1100.79,Hard_water
229.5,11.3988,126.627,287.402,1100.79,Hard_water
229.8,1,127.18,290.551,1100.79,Hard_water
230,6.19939,123.934,292.913,1001.57,Hard_water
230.3,6.19939,125.983,296.063,1044.09,Hard_water
230.5,1,128.354,296.063,1055.91,Hard_water
230.8,1,130.149,300,1077.17,Hard_water
231,1,129.988,303.937,1105.51,Hard_water
231.3,1,125.43,307.874,1112.6,Hard_water
231.5,1,117.557,309.449,1088.98,Hard_water
231.8,11.3988,123.128,309.449,1060.63,Hard_water
232,1,129.113,307.874,1088.98,Hard_water
232.3,11.3988,126.903,301.575,1088.98,Hard_water
232.5,1,129.804,294.488,1088.98,Hard_water
232.8,1,133.579,290.551,1088.98,Hard_water
233,21.7975,134.845,281.89,1039.37,Hard_water
233.3,1,130.725,272.441,1011.02,Hard_water
233.5,6.19939,126.811,266.929,1006.3,Hard_water
233.8,1,133.027,262.992,1090.95,Hard_water
234,16.5982,132.29,255.906,979.769,Hard_water
